#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0025   1   143.0049   210.4818
O1   1.40   0.0025   2   105.8155   176.6320
O1   1.40   0.0025   3   59.8606   134.4332
#--- new collection started at 19:22:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0030   1   154.9199   215.7444
O1   1.40   0.0030   2   123.7570   189.2544
O1   1.40   0.0030   3   78.0063   147.2702
#--- new collection started at 13:42:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:31:03---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0040   1   141.8900   195.6058
O1   1.40   0.0040   2   107.0891   166.4706
O1   1.40   0.0040   3   54.2213   115.0139
#--- new collection started at 19:34:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0050   1   163.4765   221.0740
O1   1.40   0.0050   2   131.8026   183.9475
O1   1.40   0.0050   3   93.1193   150.2382
O1   1.40   0.0050   4   36.2264   88.9130
#--- new collection started at 19:41:06---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0060   1   162.6562   220.6127
O1   1.40   0.0060   2   132.2158   184.5503
O1   1.40   0.0060   3   92.4103   145.3638
O1   1.40   0.0060   4   35.1156   84.5667
#--- new collection started at 19:44:26---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0070   5   32.7343   39.3588
O1   1.40   0.0070   6   33.7560   54.8659
O1   1.40   0.0070   1   145.1157   148.1418
O1   1.40   0.0070   2   127.4554   120.9286
O1   1.40   0.0070   3   105.8243   89.9725
O1   1.40   0.0070   4   73.4150   56.0887
#--- new collection started at 19:50:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0080   1   159.5801   215.4964
O1   1.40   0.0080   2   126.4607   177.3612
O1   1.40   0.0080   3   84.1131   131.8112
O1   1.40   0.0080   4   22.5035   58.9490
#--- new collection started at 20:05:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:30:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:01:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0125   1   179.3930   235.6200
O1   1.40   0.0125   2   158.3261   205.9296
O1   1.40   0.0125   3   128.4812   170.3067
